rmse,mae,r2,model_name
1295515.3523899997,952935.5607515136,0.6679519827651168,gradient_boosting
1341104.2266788962,977471.875,0.6441714763641357,xgboost
1352587.4898450836,1009458.8559076402,0.6380517376322918,lightgbm
1415835.6180660736,1026657.0271918175,0.6034103000491026,random_forest
